timestamp,roll,pitch,yaw,gt_roll,gt_pitch,gt_yaw,x,y,z,gt_x,gt_y,gt_z,wx,wy,wz,ax,ay,az,
7.77888,0.326839,0.398336,-39.2847,0,0,23.4099,42.21,40.4718,-0.389307,32.048,33.6298,-0.0722175,0.000853948,0.00640579,0.00431266,0.129603,0.791587,9.93486,
7.78388,0.326955,0.400109,-39.2833,0,0,23.4099,42.2138,40.5013,-0.389551,32.048,33.6298,-0.0722175,-0.000108294,0.00602793,0.00500936,0.0409409,0.844579,10.2405,
7.78888,0.326682,0.401864,-39.2819,0,0,23.4099,42.2175,40.5309,-0.389785,32.048,33.6298,-0.0722175,-0.00187017,0.00627905,0.00482932,0.0143051,0.687223,10.4234,
7.79388,0.326074,0.403496,-39.2805,0,0,23.4099,42.2213,40.5604,-0.390006,32.048,33.6298,-0.0722175,-0.00244483,0.00516895,0.0050915,-0.264402,0.565033,10.2009,
7.79888,0.325479,0.405002,-39.279,0,0,23.4099,42.225,40.59,-0.390218,32.048,33.6298,-0.0722175,-0.00178032,0.00541035,0.0054308,-0.188164,0.441596,9.88115,
7.80388,0.325179,0.406551,-39.2775,0,0,23.4099,42.2288,40.6196,-0.390426,32.048,33.6298,-0.0722175,-0.000387579,0.0054583,0.00484977,0.0439771,0.449549,9.82871,
7.80888,0.325312,0.407952,-39.2761,0,0,23.4099,42.2326,40.6492,-0.390633,32.048,33.6298,-0.0722175,0.0012479,0.0043777,0.00500802,0.0199303,0.567287,9.87891,
7.81388,0.325691,0.409198,-39.2746,0,0,23.4099,42.2364,40.6788,-0.390839,32.048,33.6298,-0.0722175,0.001323,0.00438139,0.00531211,0.129919,0.612177,9.73871,
7.81888,0.325912,0.410462,-39.2731,0,0,23.4099,42.2402,40.7084,-0.391047,32.048,33.6298,-0.0722175,0.00013981,0.00450276,0.0052863,0.297837,0.639744,9.61393,
7.82388,0.325971,0.411915,-39.2716,0,0,23.4099,42.244,40.738,-0.39126,32.048,33.6298,-0.0722175,0.00020083,0.00570036,0.0049527,0.324491,0.604577,9.54915,
7.82888,0.325957,0.413486,-39.2701,0,0,23.4099,42.2478,40.7676,-0.391478,32.048,33.6298,-0.0722175,-0.000375845,0.00532988,0.0055686,-0.012666,0.667702,9.55563,
7.83388,0.325903,0.414985,-39.2684,0,0,23.4099,42.2516,40.7973,-0.391703,32.048,33.6298,-0.0722175,-8.41543e-05,0.00520013,0.00588343,-0.104681,0.596326,9.6222,
7.83888,0.325991,0.416421,-39.2667,0,0,23.4099,42.2555,40.8269,-0.391932,32.048,33.6298,-0.0722175,0.000612214,0.004889,0.00578955,-0.245981,0.568759,9.65502,
7.84388,0.326165,0.417591,-39.265,0,0,23.4099,42.2593,40.8566,-0.392166,32.048,33.6298,-0.0722175,0.00051599,0.00334874,0.00634644,-0.378173,0.561029,9.55142,
7.84888,0.32637,0.418544,-39.2633,0,0,23.4099,42.2632,40.8862,-0.392406,32.048,33.6298,-0.0722175,0.000828132,0.0033702,0.00550423,-0.187811,0.470746,9.52478,
7.85388,0.326875,0.419591,-39.2617,0,0,23.4099,42.2671,40.9159,-0.392652,32.048,33.6298,-0.0722175,0.00261985,0.00400521,0.00519309,-0.0106171,0.49036,9.56452,
7.85888,0.327837,0.420689,-39.2602,0,0,23.6869,42.2709,40.9456,-0.392906,31.8675,34.0479,-0.0780058,0.00401895,0.00371788,0.00535134,0.0261888,0.545401,9.39814,
7.86388,0.328908,0.421816,-39.2588,0,0,23.6869,42.2748,40.9753,-0.39317,31.8675,34.0479,-0.0780058,0.00337891,0.00420604,0.00477333,0.122953,0.553168,9.2659,
7.86888,0.329904,0.423089,-39.2574,0,0,23.6869,42.2787,41.005,-0.393445,31.8675,34.0479,-0.0780058,0.00350732,0.00473879,0.00504322,-0.0327453,0.742357,9.44566,
7.87388,0.33079,0.424425,-39.2558,0,0,23.6869,42.2826,41.0347,-0.39373,31.8675,34.0479,-0.0780058,0.00259738,0.0046533,0.00542041,-0.121221,0.763554,9.558,
7.87888,0.331449,0.425792,-39.2542,0,0,23.6869,42.2865,41.0645,-0.394022,31.8675,34.0479,-0.0780058,0.00191946,0.00495203,0.00585392,-0.145976,0.682101,9.49228,
7.88388,0.332029,0.427178,-39.2526,0,0,23.6869,42.2904,41.0942,-0.394323,31.8675,34.0479,-0.0780058,0.00204384,0.00478908,0.00548746,-0.0668131,0.613965,9.25714,
7.88888,0.332813,0.428736,-39.2511,0,0,23.6869,42.2943,41.1239,-0.394637,31.8675,34.0479,-0.0780058,0.00335276,0.00614997,0.00492051,-0.0727922,0.64088,9.19521,
7.89388,0.334004,0.430476,-39.2497,0,0,23.6869,42.2983,41.1537,-0.394965,31.8675,34.0479,-0.0780058,0.00489067,0.00605576,0.00494063,0.0687316,0.655372,9.25619,
7.89888,0.335527,0.432153,-39.2482,0,0,23.6869,42.3022,41.1835,-0.395306,31.8675,34.0479,-0.0780058,0.00566483,0.00570942,0.00498086,0.041686,0.824574,9.39112,
7.90388,0.337068,0.433693,-39.2467,0,0,23.6869,42.3062,41.2133,-0.395659,31.8675,34.0479,-0.0780058,0.00501271,0.00510357,0.0054536,0.0353344,0.905097,9.32658,
7.90888,0.3384,0.435225,-39.2451,0,0,23.6869,42.3102,41.2431,-0.396024,31.8675,34.0479,-0.0780058,0.00419833,0.0056541,0.00581101,-0.0897981,0.803154,9.2412,
7.91388,0.339594,0.436784,-39.2434,0,0,23.6869,42.3142,41.2729,-0.396403,31.8675,34.0479,-0.0780058,0.00405282,0.00530038,0.00581302,-0.225883,0.616144,9.33463,
7.91888,0.340785,0.438193,-39.2418,0,0,23.6869,42.3182,41.3027,-0.396792,31.8675,34.0479,-0.0780058,0.00417251,0.00460166,0.00547741,-0.217166,0.509042,9.5671,
7.92388,0.342,0.439475,-39.2403,0,0,23.6869,42.3222,41.3326,-0.397186,31.8675,34.0479,-0.0780058,0.00423018,0.00441659,0.0052578,-0.171568,0.467841,9.853,
7.92888,0.343396,0.44061,-39.2388,0,0,23.6869,42.3262,41.3624,-0.39758,31.8675,34.0479,-0.0780058,0.00543315,0.003566,0.00498824,-0.24993,0.352338,10.0374,
7.93388,0.345032,0.441494,-39.2373,0,0,23.6869,42.3302,41.3923,-0.397971,31.8675,34.0479,-0.0780058,0.00590589,0.00266846,0.00564974,-0.135824,0.391342,9.88964,
7.93888,0.346702,0.442266,-39.2357,0,0,23.6869,42.3342,41.4221,-0.398359,31.8675,34.0479,-0.0780058,0.0056655,0.00278816,0.00542041,0.188388,0.399873,9.79191,
7.94388,0.348312,0.443159,-39.2342,0,0,23.6869,42.3382,41.452,-0.398746,31.8675,34.0479,-0.0780058,0.00549786,0.0035147,0.00495303,0.269432,0.404548,9.92646,
7.94888,0.349946,0.444054,-39.2327,0,0,23.6869,42.3422,41.4819,-0.399129,31.8675,34.0479,-0.0780058,0.00582643,0.00279453,0.0053148,-0.041835,0.573099,10.1741,
7.95388,0.351565,0.444743,-39.2311,0,0,23.6869,42.3463,41.5118,-0.399504,31.8675,34.0479,-0.0780058,0.00538923,0.00208877,0.00620328,-0.134725,0.693183,10.3093,
7.95888,0.3531,0.445431,-39.2293,0,0,23.6869,42.3503,41.5417,-0.399867,31.8675,34.0479,-0.0780058,0.00523433,0.00278145,0.00577547,-0.218637,0.675041,10.4098,
7.96388,0.354478,0.446105,-39.2278,0,0,23.6869,42.3544,41.5716,-0.400215,31.8675,34.0479,-0.0780058,0.00429925,0.00199221,0.00523601,-0.380594,0.716336,10.4014,
7.96888,0.355432,0.446716,-39.2263,0,0,23.6869,42.3585,41.6015,-0.400548,31.8675,34.0479,-0.0780058,0.00228323,0.00234023,0.00479076,-0.0946969,0.649281,10.4066,
7.97388,0.356209,0.447478,-39.225,0,0,23.6869,42.3625,41.6314,-0.400866,31.8675,34.0479,-0.0780058,0.00306811,0.00303358,0.00409037,-0.0144169,0.593308,10.4911,
7.97888,0.357251,0.448106,-39.2238,0,0,23.6869,42.3666,41.6614,-0.401167,31.8675,34.0479,-0.0780058,0.00414435,0.00140648,0.00464391,-0.207312,0.550859,10.3683,
7.98388,0.358251,0.448465,-39.2224,0,0,23.6869,42.3707,41.6913,-0.401455,31.8675,34.0479,-0.0780058,0.00275731,0.00116106,0.00511598,0.0364706,0.543427,10.3159,
7.98888,0.358932,0.448709,-39.2209,0,0,23.6869,42.3748,41.7213,-0.401728,31.8675,34.0479,-0.0780058,0.00191577,0.000603162,0.00512034,0.0421889,0.610985,10.4421,
7.99388,0.359441,0.448846,-39.2194,0,0,23.6869,42.3789,41.7513,-0.401987,31.8675,34.0479,-0.0780058,0.001554,0.000419766,0.0056152,-0.114348,0.594966,10.3975,
7.99888,0.359823,0.448994,-39.2178,0,0,23.6869,42.383,41.7812,-0.402232,31.8675,34.0479,-0.0780058,0.00102695,0.000685304,0.00568897,-0.0188872,0.439081,10.0449,
